SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
PAST SALE,,Townhouse,119 26th Ave E Unit B,Seattle,WA,98122,865000.0,3.0,3.0,Madison Valley,1602.0,994.0,2022.0,4.0,540.0,,Pending,,,https://www.redfin.com/WA/Seattle/119-26th-Ave-E-98112/unit-B/home/190671323,NWMLS as Distributed by MLS Grid,2231801,N,Y,47.619553,-122.2990489,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,,Condo/Co-op,700 E Denny Way #204,Seattle,WA,98122,329950.0,1.0,1.0,Capitol Hill,485.0,,2000.0,4.0,680.0,355.0,Pending,,,https://www.redfin.com/WA/Seattle/700-E-Denny-Way-98122/unit-204/home/190464257,NWMLS as Distributed by MLS Grid,2221033,N,Y,47.6188801,-122.3231432,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,September-11-2002,Townhouse,1808 26th Ave Unit A,Seattle,WA,98122,949000.0,3.0,2.5,Madison Valley,1872.0,1542.0,2001.0,5.0,507.0,,Pending,,,https://www.redfin.com/WA/Seattle/1808-26th-Ave-98122/unit-A/home/145780,NWMLS as Distributed by MLS Grid,2227617,N,Y,47.6179734,-122.2983272,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,June-16-1995,Single Family Residential,1600 30th Ave,Seattle,WA,98122,750000.0,2.0,1.0,Madrona,1440.0,3300.0,1927.0,5.0,521.0,,Pending,,,https://www.redfin.com/WA/Seattle/1600-30th-Ave-98122/home/146020,NWMLS as Distributed by MLS Grid,2233767,N,Y,47.6154454,-122.2932972,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,August-3-2006,Single Family Residential,2111 E Terrace St,Seattle,WA,98122,895000.0,4.0,3.0,Central Area,1620.0,2964.0,1999.0,5.0,552.0,,Pending,,,https://www.redfin.com/WA/Seattle/2111-E-Terrace-St-98122/home/142906,NWMLS as Distributed by MLS Grid,2232019,N,Y,47.6050227,-122.3045177,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,July-29-2014,Single Family Residential,1705 34th Ave,Seattle,WA,98122,1200000.0,4.0,2.5,Madrona,1930.0,3500.0,1916.0,5.0,622.0,,Pending,,,https://www.redfin.com/WA/Seattle/1705-34th-Ave-98122/home/147962,NWMLS as Distributed by MLS Grid,2228226,N,Y,47.6167274,-122.289544,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,March-7-2003,Single Family Residential,822 20th Ave,Seattle,WA,98122,949950.0,3.0,2.0,Central Area,1560.0,3600.0,1994.0,5.0,609.0,,Pending,,,https://www.redfin.com/WA/Seattle/822-20th-Ave-98122/home/142527,NWMLS as Distributed by MLS Grid,2226327,N,Y,47.6097259,-122.3060624,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,April-30-2012,Single Family Residential,1733 25th Ave,Seattle,WA,98122,650000.0,2.0,1.0,Central Area,790.0,2601.0,1908.0,5.0,823.0,,Pending,,,https://www.redfin.com/WA/Seattle/1733-25th-Ave-98122/home/145948,NWMLS as Distributed by MLS Grid,2227795,N,Y,47.6174296,-122.3003551,7,3.142857142857143,3.267610438342146,73.12
MLS Listing,,Single Family Residential,1314 E Marion St,Seattle,WA,98122,1095000.0,4.0,2.5,First Hill,1980.0,2400.0,1903.0,5.0,553.0,,Active,,,https://www.redfin.com/WA/Seattle/1314-E-Marion-St-98122/home/142879,NWMLS as Distributed by MLS Grid,2224084,N,Y,47.6105666,-122.3147085,7,3.142857142857143,3.267610438342146,73.12
PAST SALE,,Single Family Residential,3421 E Superior St,Seattle,WA,98122,1395000.0,3.0,1.5,Leschi,2210.0,5280.0,1971.0,6.0,631.0,,Pending,,,https://www.redfin.com/WA/Seattle/3421-E-Superior-St-98122/home/22632621,NWMLS as Distributed by MLS Grid,2233382,N,Y,47.6025831,-122.2882709,7,3.142857142857143,3.267610438342146,73.12
