SALE TYPE,PROPERTY TYPE,CITY,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
MLS Listing,Single Family Residential,Enumclaw,98022,954950.0,4.0,2.5,Enumclaw,2834.0,8519.0,2024.0,66.0,337.0,47.200741,-122.00989,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Enumclaw,98022,919950.0,3.0,3.0,Enumclaw,2372.0,8421.0,2024.0,83.0,388.0,47.199505,-122.010353,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Enumclaw,98022,799950.0,5.0,3.0,Enumclaw,2435.0,8040.0,2024.0,86.0,329.0,47.201327,-122.01124,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Enumclaw,98022,895000.0,3.0,2.5,Enumclaw,3530.0,76709.0,1979.0,90.0,254.0,47.2594284,-122.0193298,9,3.555555555555556,3.5341319093664314,34.29
PAST SALE,Single Family Residential,Enumclaw,98022,844950.0,3.0,2.5,Enumclaw,2286.0,8493.0,2023.0,93.0,370.0,47.200983,-122.010073,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Enumclaw,98022,859950.0,3.0,2.0,Enumclaw,2066.0,9670.0,2024.0,97.0,416.0,47.199515,-122.011266,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Enumclaw,98022,749900.0,4.0,2.5,Nw In Town,2305.0,7750.0,2024.0,99.0,325.0,47.201452,-122.011934,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Enumclaw,98022,1595000.0,4.0,2.5,Enumclaw,3080.0,425145.0,1973.0,239.0,518.0,47.21831,-122.073491,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Enumclaw,98022,2200000.0,6.0,7.0,Greenwater,2316.0,218758.0,1955.0,269.0,950.0,47.157629,-121.658337,9,3.555555555555556,3.5341319093664314,34.29
For-Sale-by-Owner Listing,Single Family Residential,Enumclaw,98022,497000.0,3.0,1.0,Enumclaw,1200.0,8712.0,1959.0,261.0,414.0,47.2043503,-122.0079288,9,3.555555555555556,3.5341319093664314,34.29
MLS Listing,Single Family Residential,Federal Way,98023,599000.0,3.0,3.0,Alderbrook,1270.0,6497.0,1986.0,7.0,472.0,47.3089734,-122.3557769,14,1.7857142857142858,2.1635397123202003,22.01
